{re = 8.28421307, im = 0}
{re = -0.502498329, im = 2.97686028}
{re = -0.344432294, im = -0.0400941372}
{re = -0.347812712, im = -0.433356464}
{re = -0.345732629, im = 0.270616591}
{re = -0.371005446, im = -1.21195769}
{re = -0.344574124, im = 0.0970105529}
{re = -0.351236254, im = 0.613573909}
{re = -0.345065981, im = -0.191192657}
{re = 9.83765602, im = -10.044981}
{re = -0.34440279, im = -0.00210046768}
{re = -0.346584797, im = -0.34667325}
{re = -0.346480846, im = 0.33826375}
{re = -0.357273608, im = -0.842340112}
{re = -0.344755143, im = 0.139360309}
{re = -0.356409073, im = 0.81352073}
{re = -0.344780445, im = -0.144282401}
{re = -0.402225971, im = -1.79001677}
{re = -0.344481766, im = 0.0659189224}
{re = -0.345378846, im = -0.231833696}
{re = -0.349049658, im = 0.505903363}
{re = -0.39522171, im = 1.67742848}
{re = -0.344492376, im = -0.0702867508}
{re = -0.349303335, im = -0.519538462}
{re = -0.345327228, im = 0.225754857}
{re = -0.601808369, im = -3.81985474}
{re = -0.344420612, im = 0.0315995216}
{re = -0.345873654, im = -0.284548104}
{re = -0.347486794, im = 0.412130654}
{re = -0.352086693, im = -0.650648832}
{re = -0.344992846, im = 0.180313855}
{re = -0.366608858, im = 1.10700881}
{re = -0.3446064, im = -0.106154799}
{re = -0.543160915, im = 3.34551501}
{re = -0.344426274, im = -0.0358424187}
{re = -0.347645462, im = -0.422581911}
{re = -0.345801771, im = 0.277512789}
{re = -0.368666291, im = -1.1572926}
{re = -0.34458971, im = 0.10156554}
{re = -0.351645827, im = 0.631690621}
{re = -0.345028877, im = -0.185716838}
{re = -1.67499757, im = -9.19431114}
{re = -0.344405711, im = 0.0147147179}
{re = -0.346196145, im = -0.314208329}
{re = -0.346931428, im = 0.37321645}
{re = -0.35424161, im = -0.736336589}
{re = -0.344863772, im = 0.159368575}
{re = -0.360438079, im = 0.940373778}
{re = -0.344685942, im = -0.124876589}
{re = -0.380324334, im = -1.40908682}
{re = -0.344529361, im = 0.0835286379}
{re = -0.345188767, im = -0.208086461}
{re = -0.350171357, im = 0.563699007}
{re = -0.43440789, im = 2.23739147}
{re = -0.344453335, im = -0.0529328585}
{re = -0.348376244, im = -0.467801213}
{re = -0.345544308, im = 0.250701785}
{re = -1.10244489, im = 6.73730469}
{re = -0.344408959, im = -0.0189254284}
{re = -0.347060472, im = -0.382540733}
{re = -0.346109182, im = 0.306550771}
{re = -0.361730993, im = -0.977618217}
{re = -0.344664752, im = 0.120137066}
{re = -0.353635639, im = 0.713273048}
{re = -0.344894201, im = -0.164510518}
{re = -0.451206863, im = -2.43960285}
{re = -0.344444633, im = 0.0486412048}
{re = -0.345603794, im = -0.257217228}
{re = -0.348177761, im = 0.455943525}
{re = -0.376758337, im = 1.33703411}
{re = -0.344542921, im = -0.087993741}
{re = -0.350501776, im = -0.579629421}
{re = -0.345146, im = 0.202373952}
{re = -23.4541664, im = -68.4028015}
{re = -0.344403267, im = 0.00630187988}
{re = -0.346379757, im = -0.33005619}
{re = -0.346696377, im = 0.355294228}
{re = -0.355621934, im = -0.786339283}
{re = -0.344807029, im = 0.14925766}
{re = -0.358223855, im = 0.872961938}
{re = -0.344730437, im = -0.134485662}
{re = -0.389393389, im = -1.5777626}
{re = -0.344505012, im = 0.074677527}
{re = -0.345278978, im = -0.219772547}
{re = -0.349573612, im = 0.533692479}
{re = -0.410744607, im = 1.91827464}
{re = -0.34446913, im = -0.0615710616}
{re = -0.348811805, im = -0.492753774}
{re = -0.345431626, im = 0.238015205}
{re = -0.502498329, im = -2.97686028}
{re = -0.344432294, im = 0.0400941372}
{re = -0.345732629, im = -0.270616591}
{re = -0.347812712, im = 0.433356464}
{re = -0.351236254, im = -0.613573909}
{re = -0.345065981, im = 0.191192657}
{re = -0.371005446, im = 1.21195769}
{re = -0.344574124, im = -0.0970105529}
{re = -0.691033185, im = 4.45491982}
{re = -0.34441632, im = -0.0273673534}
{re = -0.347335547, im = -0.401982725}
{re = -0.345948428, im = 0.291728199}
{re = -0.364789873, im = -1.06058574}
{re = -0.344625443, im = 0.110776663}
{re = -0.352561682, im = 0.670515537}
{re = -0.344958693, im = -0.174980611}
{re = -3.40803671, im = 15.1165009}
{re = -0.344404221, im = -0.0105075836}
{re = -0.346810579, im = -0.364137948}
{re = -0.346286535, im = 0.322040856}
{re = -0.35927549, im = -0.905569196}
